refs/remotes/origin/HEAD	origin	610b585f3d221addd4e7b824c92a5cc256cffcf9	2026-07-14T13:41:49+03:00	chore: initialize standalone One Time foundation
refs/remotes/origin/codex/crm-core-v1	origin/codex/crm-core-v1	4ac288968ba24e30a5c3f8c6924f492eedf4338f	2026-07-14T21:07:10+03:00	fix: harden OT-27 auth CRM gaps
refs/remotes/origin/codex/foundation-landing-lead-v1	origin/codex/foundation-landing-lead-v1	3465bd7d4c6b6829a6be6e4b4f8a003d608f3680	2026-07-14T16:17:40+03:00	test: add OT-24 release evidence gates
refs/remotes/origin/codex/ops-02-staging-activation-610b585f	origin/codex/ops-02-staging-activation-610b585f	79f3ec25ec65cb25377ca529432f3d5a3fdd7618	2026-07-16T08:52:55+03:00	OPS-02: add reusable staging checkpoint tooling
refs/remotes/origin/codex/ops-04-legacy-audience-migration	origin/codex/ops-04-legacy-audience-migration	b8777ad02eeee47d375d377817a66cae99f488ea	2026-07-16T08:57:07+03:00	OPS-04 legacy audience migration tooling
refs/remotes/origin/codex/ops-06-ops-06-20260716t052821z-752266af	origin/codex/ops-06-ops-06-20260716t052821z-752266af	6048125c29048c1eadbb7d256a1ffa6fe9a14796	2026-07-16T08:44:31+03:00	[OPS-06] Add blocked synthetic rehearsal checkpoint
refs/remotes/origin/codex/ops-07-pre-ot99-checkpoint-58746abd	origin/codex/ops-07-pre-ot99-checkpoint-58746abd	d1825332e0a9fd3107842dd0d60f183ceb5167a3	2026-07-16T08:37:42+03:00	OPS-07 pre-OT99 checkpoint
refs/remotes/origin/codex/ops-08-readiness-checkpoint	origin/codex/ops-08-readiness-checkpoint	abbb96f62266ba57856af49876745716094df81e	2026-07-16T08:46:25+03:00	OPS-08: publish domain email readiness checkpoint
refs/remotes/origin/codex/ops05-observability-runbooks	origin/codex/ops05-observability-runbooks	f4ac299ba9003952f1ceb60fa9e1c594486bd63d	2026-07-16T08:38:06+03:00	[OPS-05] add observability runbooks checkpoint
refs/remotes/origin/codex/ops09-branch-fleet-ci-repair	origin/codex/ops09-branch-fleet-ci-repair	738b0794d9f2420f1c82d2f08ee5b95bbd341244	2026-07-16T08:30:43+03:00	chore(ops09): preserve fleet recovery preflight
refs/remotes/origin/codex/ot34-first-slice-core-hardening	origin/codex/ot34-first-slice-core-hardening	87f9b315c54e32e918912cc100610e2c561b68ac	2026-07-14T17:26:47+03:00	test: cover OT-34 hardening gates
refs/remotes/origin/codex/ot35-app-shell-crm-clarity	origin/codex/ot35-app-shell-crm-clarity	6ca5e568c328ea116a9413b57ea5920400f8bc14	2026-07-14T17:40:15+03:00	feat: add OT-35 authenticated CRM shell
refs/remotes/origin/codex/ot36-delivery-sink-foundation	origin/codex/ot36-delivery-sink-foundation	61d4755fe279ca47c37e7adbe8d1e6ce8b258dae	2026-07-14T20:46:22+03:00	Apply OT-36 school acknowledgement addendum
refs/remotes/origin/codex/ot37-postgres-assurance	origin/codex/ot37-postgres-assurance	0ea782d8551c26edd48b08d644b573e19b9835b1	2026-07-14T20:55:16+03:00	ci: add OT-37 postgres assurance harness
refs/remotes/origin/codex/ot38-real-mfa-security-correction	origin/codex/ot38-real-mfa-security-correction	245649523566a7a0ace493ba70ede2a405ebdcce	2026-07-14T21:41:48+03:00	Implement OT-38 privileged MFA security
refs/remotes/origin/codex/ot39-crm-privacy-performance-correction	origin/codex/ot39-crm-privacy-performance-correction	c1584577780d7b5125bce4fb81d2a454c9e84096	2026-07-14T21:32:01+03:00	fix ot39 crm privacy performance evidence
refs/remotes/origin/codex/ot40-school-receipt-worker-correction	origin/codex/ot40-school-receipt-worker-correction	571b18f36cdc645f757cc3be6b0519f1af3225f6	2026-07-14T21:32:40+03:00	fix: lock OT-40 school receipt worker contract
refs/remotes/origin/codex/ot46p-isolated-stripe-foundation	origin/codex/ot46p-isolated-stripe-foundation	f4e4fb1dc202f8b17bbf1747c82ae3b0c1c5c899	2026-07-14T23:53:49+03:00	OT-46P isolated billing foundation
refs/remotes/origin/codex/ot51p-isolated-telegram-bot	origin/codex/ot51p-isolated-telegram-bot	e235af05759f0a97496552c6e8aabed7ba3eee18	2026-07-14T23:57:25+03:00	OT-51P isolated One Time Telegram bot foundation
refs/remotes/origin/codex/ot52p-isolated-parent-student-portals	origin/codex/ot52p-isolated-parent-student-portals	9594c228b9ac3047f42bb9e8c804384cc45a3e40	2026-07-15T00:17:12+03:00	OT-52P isolated parent student portals
refs/remotes/origin/codex/ot60r-recovery-convergence	origin/codex/ot60r-recovery-convergence	dfef7de2035e08f1ee72e0133ccf656fe7a74444	2026-07-15T03:21:41+03:00	ci: ignore raw execution prompts in format gate
refs/remotes/origin/codex/ot71-product-core-train	origin/codex/ot71-product-core-train	e357f5f0fa42d4087e8062113e619181226a5d57	2026-07-15T11:01:03+03:00	feat: add ot71 owner admin dashboard shell
